sample,target,actual,output,deltat,sumi,outp,outi,outd,error,derror
63,36.289,35.6227,0.254023,0.02557,1.26988,0,0,0,0.666357,1393.14
64,36.6999,35.8391,0.256899,0.025565,1.29189,0,0,0,0.860842,1401.88
65,37.3076,36.8611,0.261153,0.02557,1.3033,0,0,0,0.446503,1441.58
66,37.5303,37.8796,0.262712,0.025581,1.29437,-0,0,0,-0.349373,1480.77
67,38.0422,37.8722,0.266295,0.02558,1.29871,0,0,0,0.169944,1480.54
68,37.4666,38.8629,0.262266,0.025635,1.26292,-0,0,0,-1.39629,1516.01
69,37.9789,37.8776,0.265852,0.025505,1.2655,0,0,0,0.101241,1485.11
70,38.0005,37.8841,0.266004,0.025567,1.26848,0,0,0,0.116435,1481.76
71,38.5034,37.9113,0.269524,0.02558,1.28363,0,0,0,0.592164,1482.07
72,38.4431,38.6545,0.269102,0.026063,1.27812,-0,0,0,-0.21136,1483.12
73,38.9474,38.669,0.272632,0.025538,1.28523,0,0,0,0.278428,1514.18
74,38.9474,38.648,0.272632,0.025622,1.2929,0,0,0,0.299459,1508.39
75,39.0705,37.8831,0.273493,0.025549,1.32324,0,0,0,1.18737,1482.76
76,39.6746,38.8781,0.277722,0.025595,1.34362,0,0,0,0.796507,1518.97
77,39.7946,38.9146,0.278562,0.02555,1.36611,0,0,0,0.880021,1523.07
78,39.6205,39.8866,0.277343,0.025649,1.35928,-0,0,0,-0.266125,1555.09
79,39.7309,39.9522,0.278116,0.025469,1.35365,-0,0,0,-0.221264,1568.66
80,38.8734,40.6826,0.272114,0.026104,1.30642,-0,0,0,-1.80919,1558.48
81,40.1763,39.4444,0.281234,0.026082,1.32551,0,0,0,0.731957,1512.32
82,38.8307,40.4126,0.271815,0.025552,1.28509,-0,0,0,-1.58183,1581.58
83,39.4317,39.6743,0.276022,0.025571,1.27889,-0,0,0,-0.242622,1551.53
84,39.4317,39.9298,0.276022,0.025588,1.26614,-0,0,0,-0.498115,1560.49
85,39.5499,39.9313,0.276849,0.025549,1.2564,-0,0,0,-0.381463,1562.93
86,39.3664,40.1328,0.275565,0.0291,1.2341,-0,0,0,-0.766377,1379.13
87,41.4323,40.1593,0.290026,0.025535,1.2666,0,0,0,1.27301,1572.72
88,40.4042,39.9089,0.282829,0.026052,1.2795,0,0,0,0.495273,1531.9
89,38.9494,39.6373,0.272646,0.02569,1.26183,-0,0,0,-0.687888,1542.91
90,39.1744,40.6468,0.274221,0.025548,1.22422,-0,0,0,-1.47238,1591
91,39.6732,39.6717,0.277712,0.025972,1.22425,0,0,0,0.00144101,1527.48
92,39.8882,39.7335,0.279217,0.02557,1.22821,0,0,0,0.1547,1553.91
93,39.9138,39.7283,0.279396,0.025558,1.23295,0,0,0,0.185466,1554.44
94,39.9138,39.9376,0.279396,0.025568,1.23234,-0,0,0,-0.0238045,1562.01
95,40.3294,39.9397,0.282306,0.025566,1.2423,0,0,0,0.389725,1562.22
96,40.0473,39.9324,0.280331,0.025572,1.24524,0,0,0,0.114929,1561.57
97,39.486,40.6716,0.276402,0.026105,1.2143,-0,0,0,-1.18553,1558
98,39.7012,40.6705,0.277909,0.025568,1.18951,-0,0,0,-0.969267,1590.68
99,39.234,40.6673,0.274638,0.025578,1.15285,-0,0,0,-1.43329,1589.93
100,39.046,39.9527,0.273322,0.025521,1.12971,-0,0,0,-0.906729,1565.48
101,39.4559,39.6702,0.276191,0.026114,1.12412,-0,0,0,-0.214298,1519.12
102,40.2653,39.6769,0.281857,0.025565,1.13916,0,0,0,0.588433,1552
103,39.0125,39.6496,0.273087,0.025574,1.12286,-0,0,0,-0.63713,1550.39
104,39.4222,38.9328,0.275955,0.025519,1.13535,0,0,0,0.48938,1525.64
105,39.4452,39.9548,0.276117,0.02557,1.12232,-0,0,0,-0.50955,1562.56
106,39.4452,39.9579,0.276117,0.025568,1.10922,-0,0,0,-0.512677,1562.81
107,39.6612,40.6521,0.277629,0.026142,1.08331,-0,0,0,-0.990842,1555.05
108,39.3788,39.6373,0.275651,0.025567,1.0767,-0,0,0,-0.258565,1550.33
109,39.8124,38.623,0.278687,0.025564,1.10711,0,0,0,1.18939,1510.83
110,40.3218,39.9485,0.282252,0.025544,1.11664,0,0,0,0.373256,1563.91
111,40.1463,39.6943,0.281024,0.026058,1.12842,0,0,0,0.451958,1523.31
112,39.1866,40.7095,0.274306,0.025569,1.08948,-0,0,0,-1.52289,1592.14
113,39.4958,39.6964,0.276471,0.025535,1.08436,-0,0,0,-0.200571,1554.59
114,39.8993,39.9527,0.279295,0.025563,1.083,-0,0,0,-0.0533586,1562.91
115,39.3288,39.9511,0.275302,0.025572,1.06708,-0,0,0,-0.622282,1562.3
116,39.3288,39.9324,0.275302,0.025571,1.05165,-0,0,0,-0.603531,1561.63
117,39.3501,39.8954,0.27545,0.025634,1.03767,-0,0,0,-0.545391,1556.35
118,39.3725,39.9012,0.275607,0.025561,1.02415,-0,0,0,-0.528695,1561.02
119,39.5879,39.9178,0.277115,0.025539,1.01573,-0,0,0,-0.329922,1563.01
120,39.8033,39.6887,0.278623,0.026077,1.01872,0,0,0,0.114621,1521.98
121,39.5296,39.6774,0.276707,0.025583,1.01494,-0,0,0,-0.147754,1550.93
122,39.7478,39.6661,0.278235,0.025561,1.01703,0,0,0,0.0817624,1551.82
123,39.964,40.6763,0.279748,0.02609,0.998445,-0,0,0,-0.712255,1559.08
124,39.7887,40.7048,0.278521,0.025529,0.97506,-0,0,0,-0.916001,1594.45
125,40.1094,40.7005,0.280766,0.025569,0.959945,-0,0,0,-0.59117,1591.79
126,40.1094,39.948,0.280766,0.025578,0.964072,0,0,0,0.161362,1561.81
127,40.3266,39.9152,0.282286,0.025592,0.9746,0,0,0,0.411371,1559.68
128,40.4468,39.9152,0.283128,0.025569,0.988192,0,0,0,0.531584,1561.08
129,40.1675,39.9199,0.281173,0.025569,0.994523,0,0,0,0.247616,1561.26
130,39.8932,39.9574,0.279253,0.02552,0.992886,-0,0,0,-0.0641646,1565.73
131,40.0104,40.9339,0.280073,0.025659,0.969191,-0,0,0,-0.923442,1595.3
132,39.7371,40.9659,0.27816,0.025509,0.937847,-0,0,0,-1.22875,1605.94
133,40.2433,40.9259,0.281703,0.025595,0.920375,-0,0,0,-0.682617,1598.98
134,39.9712,38.943,0.279798,0.025534,0.946629,0,0,0,1.02818,1525.14
135,42.6859,39.9282,0.298801,0.025585,1.01718,0,0,0,2.75772,1560.61
136,47.6698,40.9777,0.333688,0.025547,1.18815,0,0,0,6.69212,1604.01
137,47.6698,45.0548,0.333688,0.025569,1.25501,0,0,0,2.61492,1762.09
138,51.1755,46.0734,0.358228,0.025594,1.38559,0,0,0,5.10206,1800.16
139,53.9689,49.1098,0.377782,0.025602,1.50999,0,0,0,4.85913,1918.2
140,58.225,51.192,0.407575,0.025515,1.68944,0,0,0,7.03295,2006.35
141,62.3439,55.3133,0.436407,0.025558,1.86913,0,0,0,7.03053,2164.23
142,65.6259,57.978,0.459381,0.026142,2.06906,0,0,0,7.64791,2217.81
143,69.9901,62.0579,0.489931,0.025501,2.27134,0,0,0,7.93224,2433.55
144,74.0142,65.0821,0.518099,0.025591,2.49992,0,0,0,8.9321,2543.16
145,76.9298,70.2339,0.538509,0.026068,2.67447,0,0,0,6.69594,2694.26
