time,distx,disty,angle,speedx,speedy,odx,ody,oda,prx,pry,pra,patx,paty,pata
0.00749,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013295,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019238,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025315,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.037386,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.043327,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.049317,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.055353,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.061394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.066926,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.072421,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07794,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.083516,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.089526,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.095532,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.101858,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.107247,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.112801,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.118774,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.124818,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.130835,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.136877,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.142879,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.14893,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.154941,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.160939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.166526,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.172063,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.17808,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.184078,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.189589,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.195102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.200611,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.20616,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.211671,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.217158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.222636,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.228192,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.234206,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.239741,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.245234,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.251279,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.257221,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.262704,0,0,-0,0,0,0,0,-90,0,0,-0,0,90,0
0.268219,0,0,-0,0,0,0,0,-0,0,0,-0,0,90,0
0.273756,0,0,-0,0,0,0,0,-0,0,0,-0,0,90,0
0.279251,0,0,-0,0,0,0,0,-0,0,0,-0,0,90,0
0.285268,0,0,-0,0,0,0,0,-0,0,0,-0,0,90,0
0.291312,0,0,-0,0,0,0,0,-0,0,0,-0,0,90,0
0.297362,0,0,-0,0,0,0,0,-0,0,0,-0,0,90,0
0.3034,0,0,-0,0,0,0,0,-0,0,0,-0,0,90,0
0.309397,0,0,-0,0,0,0,0,-0,0,0,-0,0,90,0
0.315416,0,0,-0,0,0,0,0,-0,0,0,-0,0,90,0
0.321392,0,0,-0,0,0,0,0,-0,0,0,-0,0,90,0
0.327413,0,0,-0,0,0,0,0,-0,0,0,-0,0,90,0
0.333473,0,0,-0,0,0,0,0,-0,0,0,-0,0,90,0
0.33948,0,0,-0,0,0,0,0,-0,0,0,-0,0,90,0
0.345483,0,0,-0,0,0,0,0,-0,0,0,-0,0,90,0
0.351445,0,0,-0,0,0,0,0,-0,0,0,-0,0,90,0
0.357552,0,0,-0,0,0,0,0,-0,0,0,-0,0,90,0
0.363046,0.0785398,0.0785398,-0,0,0,0.0785398,0,-0,0,0,-0,0.0785398,90,0
0.368533,0.0785398,0.0785398,-0,1.0097,1.0097,0,0,-0,1.0097,0,-0,0.0785398,90,0
0.375067,0.15708,0.15708,-0,1.0097,1.0097,0.0785398,0,-0,1.0097,0,-0,0.15708,90,0
0.380999,0.15708,0.15708,-0,1.0097,1.0097,0,0,-0,1.0097,0,-0,0.15708,90,0
0.387083,0.235619,0.235619,-0,1.0097,1.0097,0.0785398,0,-0,1.0097,0,-0,0.235619,90,0
0.39307,0.314159,0.314159,-0,3.03536,3.03536,0.0785398,0,-0,3.03536,0,-0,0.314159,90,0
0.399089,0.392699,0.392699,-0,3.03536,3.03536,0.0785398,0,-0,3.03536,0,-0,0.392699,90,0
0.405068,0.471239,0.471239,-0,3.03536,3.03536,0.0785398,0,-0,3.03536,0,-0,0.471239,90,0
0.411114,0.549779,0.549779,-0,3.03536,3.03536,0.0785398,0,-0,3.03536,0,-0,0.549779,90,0
0.417137,0.628319,0.628319,-0,8.08792,8.08792,0.0785398,0,-0,8.08792,0,-0,0.628319,90,0
0.423147,0.706858,0.706858,-0,8.08792,8.08792,0.0785398,0,-0,8.08792,0,-0,0.706858,90,0
0.429099,0.785398,0.785398,-0,8.08792,8.08792,0.0785398,0,-0,8.08792,0,-0,0.785398,90,0
0.435116,0.863938,0.863938,-0,8.08792,8.08792,0.0785398,0,-0,8.08792,0,-0,0.863938,90,0
0.441159,0.942478,0.942478,-0,8.08792,8.08792,0.0785398,0,-0,8.08792,0,-0,0.942478,90,0
0.447174,1.09956,1.09956,-0,12.0704,12.0704,0.15708,0,-0,12.0704,0,-0,1.09956,90,0
0.453218,1.25664,1.25664,-0,12.0704,12.0704,0.15708,0,-0,12.0704,0,-0,1.25664,90,0
0.458706,1.33518,1.33518,-0,12.0704,12.0704,0.0785398,0,-0,12.0704,0,-0,1.33518,90,0
0.464222,1.41372,1.41372,-0,12.0704,12.0704,0.0785398,0,-0,12.0704,0,-0,1.41372,90,0
0.469756,1.49226,1.49226,-0,16.1746,16.1746,0.0785398,0,-0,16.1746,0,-0,1.49226,90,0
0.475255,1.64934,1.64934,-0,16.1746,16.1746,0.15708,0,-0,16.1746,0,-0,1.64934,90,0
0.480813,1.80642,1.80642,-0,16.1746,16.1746,0.15708,0,-0,16.1746,0,-0,1.80642,90,0
0.48632,1.88496,1.88496,-0,16.1746,16.1746,0.0785398,0,-0,16.1746,0,-0,1.88496,90,0
0.491774,2.04204,2.04204,-0,16.1746,16.1746,0.15708,0,-0,16.1746,0,-0,2.04204,90,0
0.497283,2.12058,2.12058,-0,19.2167,19.2167,0.0785398,0,-0,19.2167,0,-0,2.12058,90,0
0.502855,2.27765,2.27765,-0,19.2167,19.2167,0.15708,0,-0,19.2167,0,-0,2.27765,90,0
0.508337,2.35619,2.35619,-0,19.2167,19.2167,0.0785398,0,-0,19.2167,0,-0,2.35619,90,0
0.514381,2.59181,2.59181,-0,19.2167,19.2167,0.235619,0,-0,19.2167,0,-0,2.59181,90,0
0.52037,2.74889,2.74889,-0,19.2167,19.2167,0.15708,0,-0,19.2167,0,-0,2.74889,90,0
0.526367,2.90597,2.90597,-0,22.3783,22.3783,0.15708,0,-0,22.3783,0,-0,2.90597,90,0
0.532406,3.06305,3.06305,-0,22.3783,22.3783,0.15708,0,-0,22.3783,0,-0,3.06305,90,0
0.538425,3.22013,3.22013,-0,22.3783,22.3783,0.15708,0,-0,22.3783,0,-0,3.22013,90,0
0.544436,3.29867,3.29867,-0,22.3783,22.3783,0.0785398,0,-0,22.3783,0,-0,3.29867,90,0
0.55043,3.53429,3.53429,-0,24.2513,24.2513,0.235619,0,-0,24.2513,0,-0,3.53429,90,0
0.556447,3.76991,3.76991,-0,24.2513,24.2513,0.235619,0,-0,24.2513,0,-0,3.76991,90,0
0.562492,3.92699,3.92699,-0,24.2513,24.2513,0.15708,0,-0,24.2513,0,-0,3.92699,90,0
0.568502,4.08407,4.08407,-0,24.2513,24.2513,0.15708,0,-0,24.2513,0,-0,4.08407,90,0
0.574544,4.24115,4.24115,-0,26.2793,26.2793,0.15708,0,-0,26.2793,0,-0,4.24115,90,0
0.580533,4.47677,4.47677,-0,26.2793,26.2793,0.235619,0,-0,26.2793,0,-0,4.47677,90,0
0.586552,4.71239,4.71239,-0,26.2793,26.2793,0.235619,0,-0,26.2793,0,-0,4.71239,90,0
0.59204,4.86947,4.86947,-0,26.2793,26.2793,0.15708,0,-0,26.2793,0,-0,4.86947,90,0
0.597559,5.10509,5.10509,-0,26.2793,26.2793,0.235619,0,-0,26.2793,0,-0,5.10509,90,0
0.603077,5.34071,5.34071,-0,30.3223,30.3223,0.235619,0,-0,30.3223,0,-0,5.34071,90,0
0.608618,5.57633,5.57633,-0,30.3223,30.3223,0.235619,0,-0,30.3223,0,-0,5.57633,90,0
0.614635,5.81195,5.81195,-0,30.3223,30.3223,0.235619,0,-0,30.3223,0,-0,5.81195,90,0
0.620623,6.04757,6.04757,-0,30.3223,30.3223,0.235619,0,-0,30.3223,0,-0,6.04757,90,0
0.626659,6.28319,6.28319,-0,35.618,35.618,0.235619,0,-0,35.618,0,-0,6.28319,90,0
0.632682,6.5188,6.5188,-0,35.618,35.618,0.235619,0,-0,35.618,0,-0,6.5188,90,0
0.63867,6.75442,6.75442,-0,35.618,35.618,0.235619,0,-0,35.618,0,-0,6.75442,90,0
0.644685,7.06858,7.06858,-0,35.618,35.618,0.314159,0,-0,35.618,0,-0,7.06858,90,0
0.650728,7.3042,7.3042,-0,39.6733,39.6733,0.235619,0,-0,39.6733,0,-0,7.3042,90,0
0.656745,7.61836,7.61836,-0,39.6733,39.6733,0.314159,0,-0,39.6733,0,-0,7.61836,90,0
0.662763,7.93252,7.93252,-0,39.6733,39.6733,0.314159,0,-0,39.6733,0,-0,7.93252,90,0
0.668756,8.16814,8.16814,-0,39.6733,39.6733,0.235619,0,-0,39.6733,0,-0,8.16814,90,0
0.674766,8.4823,8.4823,-0,39.6733,39.6733,0.314159,0,-0,39.6733,0,-0,8.4823,90,0
0.680782,8.63938,8.63938,-0,43.4536,43.4536,0.15708,0,-0,43.4536,0,-0,8.63938,90,0
0.686801,9.03208,9.03208,-0,43.4536,43.4536,0.392699,0,-0,43.4536,0,-0,9.03208,90,0
0.692317,9.2677,9.2677,-0,43.4536,43.4536,0.235619,0,-0,43.4536,0,-0,9.2677,90,0
0.697831,9.58186,9.58186,-0,43.4536,43.4536,0.314159,0,-0,43.4536,0,-0,9.58186,90,0
0.703389,9.81748,9.89602,-0,46.49,46.49,0.274889,0,-0,46.49,0,-0,9.85675,90,0
0.708888,10.0531,10.0531,-0,46.49,46.49,0.19635,0,-0,46.49,0,-0,10.0531,90,0
0.71488,10.3673,10.3673,-0,46.49,46.49,0.314159,0,-0,46.49,0,-0,10.3673,90,0
0.720924,10.76,10.76,-0,46.49,46.49,0.392699,0,-0,46.49,0,-0,10.76,90,0
0.727359,10.9956,10.9956,-0,48.545,48.545,0.235619,0,-0,48.545,0,-0,10.9956,90,0
0.732928,11.3883,11.3883,-0,48.545,48.545,0.392699,0,-0,48.545,0,-0,11.3883,90,0
0.73898,11.7024,11.7024,-0,48.545,48.545,0.314159,0,-0,48.545,0,-0,11.7024,90,0
0.744999,12.0166,12.0166,-0,48.545,48.545,0.314159,0,-0,48.545,0,-0,12.0166,90,0
0.750978,12.4093,12.4093,-0,48.545,48.545,0.392699,0,-0,48.545,0,-0,12.4093,90,0
0.757056,12.7235,12.7235,-0,51.8972,51.8972,0.314159,0,-0,51.8972,0,-0,12.7235,90,0
0.763043,13.1161,13.1161,-0,51.8972,51.8972,0.392699,0,-0,51.8972,0,-0,13.1161,90,0
0.76905,13.4303,13.4303,-0,51.8972,51.8972,0.314159,0,-0,51.8972,0,-0,13.4303,90,0
0.775067,13.823,13.823,-0,51.8972,51.8972,0.392699,0,-0,51.8972,0,-0,13.823,90,0
0.781056,14.1372,14.1372,-0,55.5887,55.5887,0.314159,0,-0,55.5887,0,-0,14.1372,90,0
0.787122,14.5299,14.5299,-0,55.5887,55.5887,0.392699,0,-0,55.5887,0,-0,14.5299,90,0
0.792633,14.844,14.844,-0,55.5887,55.5887,0.314159,0,-0,55.5887,0,-0,14.844,90,0
0.798141,15.2367,15.2367,-0,55.5887,55.5887,0.392699,0,-0,55.5887,0,-0,15.2367,90,0
0.803809,15.6294,15.6294,-0,55.5887,55.5887,0.392699,0,-0,55.5887,0,-0,15.6294,90,0
0.809136,15.865,15.865,-0,59.9719,59.9719,0.235619,0,-0,59.9719,0,-0,15.865,90,0
0.814648,16.2577,16.2577,-0,59.9719,59.9719,0.392699,0,-0,59.9719,0,-0,16.2577,90,0
0.820214,16.5719,16.5719,-0,59.9719,59.9719,0.314159,0,-0,59.9719,0,-0,16.5719,90,0
