Entering mode: Disabled
Entering mode: Autonomous
0.394024: Starting autonomous program
0.394024: Starting step 'set motor voltage, duration = 5 seconds, left voltage = -0.25, right voltage = 0.25'
5.397261: Ending step 'set motor voltage, duration = 5 seconds, left voltage = -0.25, right voltage = 0.25'
5.397261: Starting step 'AutoPrintPosition'
Sample 24: Time 0.281073, Positions 0.000000, 0.000000 @ 0.000000
Sample 25: Time 0.287082, Positions 0.000000, 0.000000 @ 0.000000
Sample 26: Time 0.293105, Positions 0.000000, 0.000000 @ 0.000000
Sample 27: Time 0.299116, Positions 0.000000, 0.000000 @ 0.000000
Sample 28: Time 0.305137, Positions 0.000000, 0.000000 @ 0.000000
Sample 29: Time 0.311148, Positions 0.000000, 0.000000 @ 0.000000
Sample 30: Time 0.317163, Positions 0.000000, 0.000000 @ 0.000000
Sample 31: Time 0.323184, Positions 0.000000, 0.000000 @ 0.000000
Sample 32: Time 0.329199, Positions 0.000000, 0.000000 @ 0.000000
Sample 33: Time 0.335234, Positions 0.000000, 0.000000 @ 0.000000
Sample 34: Time 0.341260, Positions 0.000000, 0.000000 @ 0.000000
Sample 35: Time 0.347272, Positions 0.000000, 0.000000 @ 0.000000
Sample 36: Time 0.353283, Positions 0.000000, 0.000000 @ 0.000000
Sample 37: Time 0.359307, Positions 0.000000, 0.000000 @ 0.000000
Sample 38: Time 0.365317, Positions 0.000000, 0.000000 @ 0.000000
Sample 39: Time 0.371332, Positions 0.000000, 0.000000 @ 0.000000
Sample 40: Time 0.377325, Positions 0.000000, 0.000000 @ 0.000000
Sample 41: Time 0.383337, Positions 0.000000, 0.000000 @ 0.000000
Sample 42: Time 0.389356, Positions 0.000000, 0.000000 @ 0.000000
Sample 43: Time 0.395372, Positions 0.000000, 0.000000 @ 0.000000
Sample 44: Time 0.401386, Positions 0.000000, 0.000000 @ 0.012020
Sample 45: Time 0.407402, Positions 0.000000, 0.000000 @ 0.042065
Sample 46: Time 0.413456, Positions 0.000000, 0.000000 @ 0.093261
Sample 47: Time 0.419433, Positions 0.000000, 0.000000 @ 0.156367
Sample 48: Time 0.425451, Positions 0.000000, 0.000000 @ 0.243516
Sample 49: Time 0.431468, Positions 0.000000, 0.000000 @ 0.348696
Sample 50: Time 0.437484, Positions 0.000000, 0.000000 @ 0.471913
Sample 51: Time 0.443503, Positions 0.000000, 0.000000 @ 0.613175
Sample 52: Time 0.449512, Positions 0.000000, 0.000000 @ 0.772455
Sample 53: Time 0.455547, Positions 0.000000, 0.000000 @ 0.949766
Sample 54: Time 0.461550, Positions 0.000000, 0.000000 @ 1.145129
Sample 55: Time 0.467560, Positions 0.000000, 0.000000 @ 1.358510
Sample 56: Time 0.473581, Positions 0.000000, 0.000000 @ 1.589937
Sample 57: Time 0.479596, Positions 0.000000, 0.000000 @ 1.839389
Sample 58: Time 0.485631, Positions 0.000000, 0.000000 @ 2.100867
Sample 59: Time 0.491628, Positions 0.000000, 0.000000 @ 2.386391
Sample 60: Time 0.497644, Positions 0.000000, 0.000000 @ 2.689955
Sample 61: Time 0.503660, Positions 0.000000, 0.000000 @ 3.011550
Sample 62: Time 0.509677, Positions 0.000000, 0.000000 @ 3.351179
Sample 63: Time 0.515688, Positions 0.000000, 0.000000 @ 3.708828
Sample 64: Time 0.521733, Positions 0.000000, 0.000000 @ 4.084575
Sample 65: Time 0.527723, Positions 0.000000, 0.000000 @ 4.472366
Sample 66: Time 0.533741, Positions 0.000000, 0.000000 @ 4.884128
Sample 67: Time 0.539775, Positions 0.000000, 0.000000 @ 5.313934
Sample 68: Time 0.545777, Positions 0.000000, 0.000000 @ 5.761778
Sample 69: Time 0.551792, Positions 0.000000, 0.000000 @ 6.227651
Sample 70: Time 0.557974, Positions 0.000000, 0.000000 @ 6.711557
Sample 71: Time 0.563824, Positions 0.000000, 0.000000 @ 7.213499
Sample 72: Time 0.569834, Positions 0.000000, 0.000000 @ 7.730460
Sample 73: Time 0.575856, Positions 0.000000, 0.000000 @ 8.265457
Sample 74: Time 0.581873, Positions 0.000000, 0.000000 @ 8.818497
Sample 75: Time 0.587887, Positions 0.000000, 0.000000 @ 9.389561
Sample 76: Time 0.593902, Positions 0.000000, 0.000000 @ 9.978656
Sample 77: Time 0.603501, Positions 0.000000, 0.000000 @ 10.597816
Sample 78: Time 0.608944, Positions 0.000000, 0.000000 @ 11.235008
Sample 79: Time 0.614961, Positions 0.000000, 0.000000 @ 11.884216
Sample 80: Time 0.621021, Positions 0.000000, 0.000000 @ 12.551471
Sample 81: Time 0.626999, Positions 0.000000, 0.000000 @ 13.242763
Sample 82: Time 0.633007, Positions 0.000000, 0.000000 @ 13.952088
Sample 83: Time 0.639020, Positions 0.000000, 0.000000 @ 14.679436
Sample 84: Time 0.645036, Positions 0.000000, 0.000000 @ 15.418803
Sample 85: Time 0.651052, Positions 0.000000, 0.000000 @ 16.182218
Sample 86: Time 0.657070, Positions 0.000000, 0.000000 @ 16.963666
Sample 87: Time 0.663092, Positions 0.000000, 0.000000 @ 17.757122
Sample 88: Time 0.669101, Positions 0.000000, 0.000000 @ 18.571654
Sample 89: Time 0.690250, Positions 0.000000, 0.000000 @ 19.452575
Sample 90: Time 0.705871, Positions 0.000000, 0.000000 @ 20.380324
Sample 91: Time 0.721544, Positions 0.000000, 0.000000 @ 21.354910
Sample 92: Time 0.737149, Positions 0.000000, 0.000000 @ 22.376376
Sample 93: Time 0.752746, Positions 0.506402, 0.214022 @ 23.444650
Sample 94: Time 0.768405, Positions 0.004078, -0.009404 @ 24.512923
Sample 95: Time 0.784062, Positions 0.004078, -0.009404 @ 25.674878
Sample 96: Time 0.799688, Positions 0.004078, -0.009404 @ 26.883793
Sample 97: Time 0.815292, Positions 0.004078, -0.009404 @ 28.139423
Sample 98: Time 0.830905, Positions 0.004078, -0.009404 @ 29.441959
Sample 99: Time 0.846526, Positions 0.479629, 0.266448 @ 30.791333
Sample 100: Time 0.862163, Positions 0.010824, -0.020718 @ 32.187574
Sample 101: Time 0.877810, Positions 0.010824, -0.020718 @ 33.630638
Sample 102: Time 0.893453, Positions 0.010824, -0.020718 @ 35.120533
Sample 103: Time 0.909059, Positions 0.010824, -0.020718 @ 36.657347
Sample 104: Time 0.924664, Positions 0.010824, -0.020718 @ 38.240851
Sample 105: Time 0.940328, Positions 0.010824, -0.020718 @ 39.871250
Sample 106: Time 0.955904, Positions 0.010824, -0.020718 @ 41.548498
Sample 107: Time 0.971573, Positions 0.010824, -0.020718 @ 43.272704
Sample 108: Time 0.987176, Positions 0.010824, -0.020718 @ 45.043592
Sample 109: Time 1.002834, Positions 0.010824, -0.020718 @ 46.861488
Sample 110: Time 1.018458, Positions 0.010824, -0.020718 @ 48.726218
Sample 111: Time 1.034278, Positions 0.010824, -0.020718 @ 50.637678
Sample 112: Time 1.049711, Positions 0.010824, -0.020718 @ 52.596087
Sample 113: Time 1.065304, Positions 0.010824, -0.020718 @ 54.601267
Sample 114: Time 1.080913, Positions 0.321199, 0.433036 @ 56.653249
Sample 115: Time 1.096541, Positions 0.027270, -0.031540 @ 58.705231
Sample 116: Time 1.112167, Positions 0.027270, -0.031540 @ 60.804107
Sample 117: Time 1.127791, Positions 0.027270, -0.031540 @ 62.996622
Sample 118: Time 1.143424, Positions 0.027270, -0.031540 @ 65.235975
Sample 119: Time 1.159055, Positions 0.027270, -0.031540 @ 67.522183
Sample 120: Time 1.174741, Positions 0.027270, -0.031540 @ 69.855379
Sample 121: Time 1.190322, Positions 0.027270, -0.031540 @ 72.235254
Sample 122: Time 1.205925, Positions 0.027270, -0.031540 @ 74.615128
Sample 123: Time 1.221569, Positions 0.027270, -0.031540 @ 77.088720
Sample 124: Time 1.237178, Positions 0.027270, -0.031540 @ 79.609107
Sample 125: Time 1.252817, Positions 0.027270, -0.031540 @ 82.176364
Sample 126: Time 1.268449, Positions 0.027270, -0.031540 @ 84.790465
Sample 127: Time 1.284092, Positions 0.027270, -0.031540 @ 87.451488
Sample 128: Time 1.299731, Positions 0.027270, -0.031540 @ 90.112510
Sample 129: Time 1.315361, Positions 0.027270, -0.031540 @ 92.867244
Sample 130: Time 1.331022, Positions 0.027270, -0.031540 @ 95.668860
Sample 131: Time 1.346566, Positions 0.027270, -0.031540 @ 98.517149
Sample 132: Time 1.362190, Positions 0.027270, -0.031540 @ 101.412278
Sample 133: Time 1.377893, Positions 0.027270, -0.031540 @ 104.354386
Sample 134: Time 1.393519, Positions 0.027270, -0.031540 @ 107.343334
Sample 135: Time 1.409101, Positions 0.027270, -0.031540 @ 110.379084
Sample 136: Time 1.424713, Positions -0.177947, 0.478430 @ 113.461633
Sample 137: Time 1.440339, Positions 0.054600, -0.019670 @ 116.591019
Sample 138: Time 1.456024, Positions 0.054600, -0.019670 @ 119.767326
Sample 139: Time 1.471619, Positions 0.054600, -0.019670 @ 122.990480
Sample 140: Time 1.487244, Positions 0.054600, -0.019670 @ 126.213634
Sample 141: Time 1.502869, Positions -0.282862, 0.414256 @ 129.530463
Sample 142: Time 1.518501, Positions -0.282862, 0.414256 @ 132.894154
Sample 143: Time 1.534125, Positions 0.103105, 0.022853 @ 136.304679
Sample 144: Time 1.549767, Positions 0.103105, 0.022853 @ 139.715204
